Nama Penyakit;Penjelasan Singkat;Saran Gaya Hidup;Saran Makanan
asam urat;Asam urat adalah salah satu jenis radang sendi yang terjadi akibat penumpukan kristal asam urat. Kondisi ini bisa terjadi ketika tubuh menghasilkan terlalu banyak asam urat, atau fungsi ginjal dalam membuang asam urat tidak bekerja dengan baik sehingga membuat kadar asam urat dalam darah terlalu tinggi. Kondisi ini dapat terjadi pada sendi mana pun, seperti di jari kaki, pergelangan kaki, lutut, dan paling sering di jempol kaki.;Gaya hidup sehat bagi penderita asam urat tinggi dengan pengontrolan ataupun mengecek kadar asam urat dalam darah, mengatur makanan bagi penderita asam urat tinggi, menjaga berat  badan yang seimbang, terhidrasi dengan minum yang cukup, mengurangi atau tidak minum alkohol, berhenti merokok,  mengelola stress secara positif, dan berolahraga maupun melakukan aktivitas fisik secara teratur seperti berjalan kaki, senam, berenang, bersepeda, aerobik, dan lainnya agar menghindari risiko komplikasi, jangan lupa untuk tidur yang cukup.;Pengidap asam urat perlu menghindari atau setidaknya membatasi masuknya makanan dengan kandungan tinggi purin ke dalam tubuh. Contoh jenis makanan tinggi purin yang dimaksud adalah jeroan, daging merah, makanan laut, serta makanan dan minuman manis. Adapun makanan yang dianjurkan untuk pengidap asam urat adalah sayur-sayuran dengan kandungan purin rendah seperti kol merah, paprika, wortel, kale, mentimun, selada, dan kentang. Selain itu, buah-buahan juga menjadi makanan untuk pengidap asam urat yang baik untuk dikonsumsi. Jenis buah yang disarankan adalah buah yang mengandung tinggi vitamin C, seperti jeruk, kiwi, ceri, lemon, dan tomat. Selain itu, Teh hijau terbilang ampuh untuk menurunkan kadar asam urat. Makanan untuk pengidap asam urat lainnya adalah produk olahan susu seperti yoghurt. Ikan salmon juga masuk ke dalam makanan yang bisa menurunkan asam urat dalam tubuh. Selanjutya pengidap asam urat  dapat  mengonsumsi makanan sumber karbohidrat kompleks mencegah kekambuhan asam urat seperti kentang, jagung, beras merah, dan ubi.
diabetes;Diabetes adalah kondisi di mana kandungan gula dalam darah melebihi normal dan cenderung tinggi. Diabetes mellitus merupakan salah satu penyakit metabolisme yang mampu menyerang siapa saja. Diabetes mellitus (atau kencing manis) adalah kondisi kronis dan berlangsung seumur hidup yang mempengaruhi kemampuan tubuh dalam menggunakan energi yang dari makanan. Diabetes terjadi ketika tubuh pengidapnya tidak lagi mampu mengambil gula (glukosa) ke dalam sel dan menggunakannya sebagai energi. Kondisi ini pada akhirnya menghasilkan penumpukan gula ekstra dalam aliran darah tubuh.;Gaya hidup yang perlu dijalani pengidap diabetes seperti menjaga pola makan dan asupan gizi. Orang yang mengidap penyakit ini disarankan untuk menghindari jenis makanan yang mengandung terlalu banyak gula tambahan dan tingkatkan juga jumlah asupan makanan yang rendah lemak serta rendah kalori sehingga kadar gula bisa lebih dikontrol. Pengaturan pola makan untuk pengidap penyakit ini, misalnya dengan mengganti asupan karbohidrat, menjadi karbohidrat komplek, contohnya nasi merah, kentang panggang, dan oatmeal. Gaya hidup selanjutnya adalah rutin berolahraga karena  bisa membantu tubuh tetap bugar dan gejala diabetes tidak mudah menyerang dan bisa membantu menjaga berat badan tetap seimbang. Beberapa jenis olahraga yang bisa dilakukan pengidap diabetes adalah berjalan santai, berenang, jogging, bersepeda, atau sekadar melakukan aktivitas harian seperti membersihkan rumah. Selanjutnya, Pengidap diabetes harus selalu memantau kadar gula darah untuk memastikan kondisi tubuh dan mencegah serangan atau komplikasi muncul secara tiba-tiba.;Sebagai penderita diabetes, tentu perlu memperhatikan makanan yang masuk agar gula darah tetap stabil dan terhindar dari komplikasi diabetes. Selain menghindari pantangan makanan diabetes yang tinggi gula, kita juga perlu tahu makanan apa yang sebaiknya dikonsumsi. Umumnya, dianjurkan untuk mengonsumsi makanan yang memiliki indeks glikemik rendah. Makanan penurun gula darah yang memiliki indeks glikemik rendah untuk penderita diabetes seperti jagung,  ubi  jalar,  gandum utuh, sayuran berdaun hijau, kacang-kacangan, biji chia, ikan, yogurt probiotik, kayu manis dan mie shirataki. Adapun minuman untuk penderita diabetes yang aman dikonsumsi seperti  air putih,  jus buah murni tanpa pemanis tambahan, teh tanpa gula, kopi hitam tanpa tambahan lainnya dan  susu rendah lemak.
gula darah tinggi;Gula darah tinggi atau hiperglikemia, terjadi ketika ada terlalu banyak gula dalam darah. Kondisi ini terjadi ketika tubuh memiliki terlalu sedikit insulin atau hormon yang mengangkut glukosa ke dalam darah. Kondisi ini juga bisa terjadi jika tubuh tidak dapat menggunakan insulin dengan benar.;Cara mengendalikan gula darah dapat dilakukan dengan menerapkan pola hidup sehat seperti menjalani pola makan sehat dan bergizi seimbang. Konsumsi makanan tinggi serat, seperti buah-buahan, sayuran, dan biji-bijian utuh, tak hanya baik untuk memenuhi asupan nutrisi harian, tetapi juga menurunkan gula darah dan menjaganya tetap stabil. Rekomendasi asupan serat yang perlu dipenuhi adalah 2532 gram untuk wanita dan 3035 gram untuk pria. Selanjutnya, berolahraga secara rutin merupakan bagian penting dalam mengendalikan gula darah. Saat berolahraga, hormon insulin membawa gula darah ke dalam otot agar bisa mendapatkan energi untuk bergerak. Selain itu, Anda dianjurkan untuk mengendalikan stres agar kadar gula darah tetap normal dan berhenti merokok dan batasi konsumsi alkohol.;Seseorang yang ingin mengontrol gula darahnya harus memilih makanan dengan indeks glikemik rendah atau sedang. beberapa makanan terbaik untuk orang yang ingin menjaga kadar gula darah tetap terkontrol seperti roti gandum,  brokoli, makanan laut, labu kuning atau biji labu, okra, biji rami, kimchi dan asinan kubis, biji chia, kale, ubi jalar, buah berry, alpukat, jeruk, apel, oatmeal,  kacang-kacangan, bawang putih  dan yoghurt.
Kolesterol;Kolesterol adalah lemak yang diproduksi oleh tubuh, dan juga berasal dari makanan hewani. Kolesterol membantu tubuh memproduksi vitamin D, sejumlah hormon, dan asam empedu untuk mencerna lemak. Sedangkan Kolesterol tinggi adalah kondisi ketika seseorang memiliki terlalu banyak zat lemak dalam darah.;Menerapkan gaya hidup sehat baik karena membantu kamu mengurangi kadar kolesterol tinggi secara alami, serta meningkatkan kesehatan kamu secara keseluruhan. Jika kamu sudah minum obat, perubahan gaya hidup menjadi lebih sehat juga meningkatkan efek penurun kolesterol. dengan cara Perhatikan Makanan dan Minuman yang Dikonsumsi, Konsumsi Makanan yang Baik untuk Kesehatan Jantung, Berolahraga Secara Rutin dan Tingkatkan Aktivitas Fisik, Berhenti merokok meningkatkan kadar kolesterol baik dalam tubuh dan baik untuk kesehatan jantung, Jaga Berat Badan Ideal, Batasi Konsumsi Alkohol, ;Berikut ini beberapa jenis makanan sarat gizi yang dapat Anda konsumsi untuk menurunkan kadar kolesterol dalam darah sekaligus menjaga kesehatan tubuh Daging Unggas dan Ikan, Serat yang Berasal dari Sayur-sayuran, Buah-buahan dan Gandum Utuh, Rutin mengonsumsi kacang akan sanggup memenuhi kebutuhan lemak baik di tubuh, sekaligus menjaga kadar kolesterol tetap stabil, Minyak zaitun mengandung antioksidan yang dapat menurunkan tingkat kolesterol jahat,  Produk Susu Bebas atau Rendah Lemak Jenuh.
Kolesterol1;Kolesterol adalah lemak yang diproduksi oleh tubuh, dan juga berasal dari makanan hewani. Kolesterol membantu tubuh memproduksi vitamin D, sejumlah hormon, dan asam empedu untuk mencerna lemak. Sedangkan Kolesterol tinggi adalah kondisi ketika seseorang memiliki terlalu banyak zat lemak dalam darah.;Menerapkan gaya hidup sehat baik karena membantu kamu mengurangi kadar kolesterol tinggi secara alami, serta meningkatkan kesehatan kamu secara keseluruhan. Jika kamu sudah minum obat, perubahan gaya hidup menjadi lebih sehat juga meningkatkan efek penurun kolesterol. dengan cara Perhatikan Makanan dan Minuman yang Dikonsumsi, Konsumsi Makanan yang Baik untuk Kesehatan Jantung, Berolahraga Secara Rutin dan Tingkatkan Aktivitas Fisik, Berhenti merokok meningkatkan kadar kolesterol baik dalam tubuh dan baik untuk kesehatan jantung, Jaga Berat Badan Ideal, Batasi Konsumsi Alkohol, ;Berikut ini beberapa jenis makanan sarat gizi yang dapat Anda konsumsi untuk menurunkan kadar kolesterol dalam darah sekaligus menjaga kesehatan tubuh Daging Unggas dan Ikan, Serat yang Berasal dari Sayur-sayuran, Buah-buahan dan Gandum Utuh, Rutin mengonsumsi kacang akan sanggup memenuhi kebutuhan lemak baik di tubuh, sekaligus menjaga kadar kolesterol tetap stabil, Minyak zaitun mengandung antioksidan yang dapat menurunkan tingkat kolesterol jahat,  Produk Susu Bebas atau Rendah Lemak Jenuh.
stroke;"Stroke merupakan keadaan darurat medis.
Gejala stroke yaitu sulit berjalan, berbicara, dan memahami, serta kelumpuhan atau mati rasa pada wajah, lengan, atau tungkai.";Stroke menjadi salah satu penyakit yang dapat dicegah. Berikut ini gaya hidup sehat yang bisa kamu lakukan Mengonsumsi Makanan Sehat memperbanyak asupan buah dan sayuran, Mengontrol Berat Badan lakukan pengecekan berat badan secara rutin, Lakukan olahraga secara rutin dalam satu hari minimal lakukan olahraga selama 30 menit, Menghentikan Kebiasaan Merokok, Hindari Mengonsumsi Alkohol, usahakan tidak stres, selalu berpikir positif dan istirahat cukup seperti tidur 6-8 jam sehari, serta periksa kesehatan secara teratur. Sedangkan bagi mereka yang telah menderita penyakit stroke, lakuakan kualitas hidup yang lebih baik. kualitas hidup dapat ditingkatkan dengan tetap semangat, tidak depresi dan kontrol kesehatan secara teratur.;Memilih makanan untuk penderita stroke yang aman akan membantu pengidapnya mengontrol tekanan darah, berat badan hingga potensi serangan stroke berulang. Menjaga pola makan sehat bagi penderita stroke dapat menurunkan tiga faktor risiko penyebabnya, seperti kadar kolesterol, berat badan berlebih dan tekanan darah tinggi. Adapun saran makanan untuk penderita stroke antara lain buah-buahan dan sayuran, khususnya sayuran hijau, beberapa contoh sayuran yang bisa dikonsumsi adalah asparagus, kentang, wortel dan tomat untuk buahnya sendiri di antaranya apel, pisang, jeruk dan melon. Ikan dikategorikan dalam makanan untuk penderita stroke karena memiliki kandungan protein yang tinggi, sehingga dapat membantu tubuh mengendalikan tekanan darah serta menurunkan kolesterol untuk mengurangi risiko kambuhnya stroke. Makanan dari biji-bijian mengandung tinggi serat, magnesium, zat besi beserta vitamin B (asam folat dan thiamin) Kandungan-kandungan baik tersebut dapat menjaga kesehatan jantung sehingga mengurangi gejala stroke ringan muncul kembali. Olahan Susu Rendah Lemak. makanan yang mengandung kalium di antaranya seperti, kentang, bayam, ikan, kedelai, pisang, tomat, ubi jalar dan melon. 
stroke1;"Stroke merupakan keadaan darurat medis.
Gejala stroke yaitu sulit berjalan, berbicara, dan memahami, serta kelumpuhan atau mati rasa pada wajah, lengan, atau tungkai.";Stroke menjadi salah satu penyakit yang dapat dicegah. Berikut ini gaya hidup sehat yang bisa kamu lakukan Mengonsumsi Makanan Sehat memperbanyak asupan buah dan sayuran, Mengontrol Berat Badan lakukan pengecekan berat badan secara rutin, Lakukan olahraga secara rutin dalam satu hari minimal lakukan olahraga selama 30 menit, Menghentikan Kebiasaan Merokok, Hindari Mengonsumsi Alkohol, usahakan tidak stres, selalu berpikir positif dan istirahat cukup seperti tidur 6-8 jam sehari, serta periksa kesehatan secara teratur. Sedangkan bagi mereka yang telah menderita penyakit stroke, lakuakan kualitas hidup yang lebih baik. kualitas hidup dapat ditingkatkan dengan tetap semangat, tidak depresi dan kontrol kesehatan secara teratur.;Memilih makanan untuk penderita stroke yang aman akan membantu pengidapnya mengontrol tekanan darah, berat badan hingga potensi serangan stroke berulang. Menjaga pola makan sehat bagi penderita stroke dapat menurunkan tiga faktor risiko penyebabnya, seperti kadar kolesterol, berat badan berlebih dan tekanan darah tinggi. Adapun saran makanan untuk penderita stroke antara lain buah-buahan dan sayuran, khususnya sayuran hijau, beberapa contoh sayuran yang bisa dikonsumsi adalah asparagus, kentang, wortel dan tomat untuk buahnya sendiri di antaranya apel, pisang, jeruk dan melon. Ikan dikategorikan dalam makanan untuk penderita stroke karena memiliki kandungan protein yang tinggi, sehingga dapat membantu tubuh mengendalikan tekanan darah serta menurunkan kolesterol untuk mengurangi risiko kambuhnya stroke. Makanan dari biji-bijian mengandung tinggi serat, magnesium, zat besi beserta vitamin B (asam folat dan thiamin) Kandungan-kandungan baik tersebut dapat menjaga kesehatan jantung sehingga mengurangi gejala stroke ringan muncul kembali. Olahan Susu Rendah Lemak. makanan yang mengandung kalium di antaranya seperti, kentang, bayam, ikan, kedelai, pisang, tomat, ubi jalar dan melon. 
hipertensi;Hipertensi adalah pengertian medis dari suatu kondisi ketika tekanan darah terhadap dinding arteri terlalu tinggi. Biasanya hipertensi didefinisikan sebagai tekanan darah di atas 140/90, dan dianggap parah jika tekanan di atas 180/120. Kondisi ini dapat menyebabkan berbagai macam komplikasi kesehatan yang membahayakan nyawa jika dibiarkan. Bahkan, gangguan ini dapat menyebabkan peningkatan risiko terjadinya penyakit jantung, stroke, hingga kematian.;Darah tinggi atau yang lebih populer dengan sebutan hipertensi, tidak bisa disembuhkan. Namun, pengidap tekanan darah tinggi tetap dapat hidup sehat dan terbebas dari gejala, selama bisa mengontrol tekanan darah dengan baik. Berikut ini adalah beberapa cara sederhana tetapi ampuh untuk mengontrol tekanan darah Menerapkan Pola Makan Sehat Rendah Garam, Rutin Berolahraga, Menjaga Berat Badan Ideal, Mengelola Stres, Berhenti Merokok dan berhenti Minum Alkohol, Mengurangi Kafein, Rutin Cek Tekanan Darah.; Berikut ini berbagai jenis makanan yang bisa membantu kamu menurunkan darah tinggi atau hipertensi Mentimun di dalam mentimun banyak terkandung kalium, kaya vitamin C, dan antioksidan, seperti karotenoid dan tokoferol. Sayuran Hijau mulai dari bayam, lobak hijau, kubis, selada romaine, hingga bit hijau. Buah beri, terutama blueberry kaya akan senyawa alami yang disebut flavonoid yang dapat membantu untuk mencegah hipertensi dan menurunkan tekanan darah. Buah Bit, Buah ini mengandung nitric oxide, yang dapat membantu membuka pembuluh darah dan menurunkan tekanan darah. Susu Skim dan Yoghurt. Kemudian ada Wortel, wortel mengandung senyawa fenolik, seperti klorogenik dan asam caffeic yang dapat membantu untuk mengendurkan pembuluh darah dan mengurangi peradangan, dengan begitu kondisi tekanan darah tinggi dapat diatasi dan dicegah menjadi lebih buruk.
gagal jantung;Gagal jantung adalah kondisi ketika jantung melemah sehingga tidak mampu memompa darah yang cukup ke seluruh tubuh. Kondisi ini dapat terjadi pada siapa saja, tetapi lebih sering terjadi pada orang berusia di atas 65 tahun. Gagal jantung atau heart failure juga dikenal dengan gagal jantung kongestif. Terlepas dari namanya, kondisi ini bukan berarti jantung benar-benar berhenti berfungsi, melainkan jantung tidak bisa berfungsi dengan baik.;Apabila seseorang terlanjur mengalami gagal jantung, maka memperbaiki pola hidup dan faktor risiko adalah tindakan yang wajib pasien tempuh. Dari sisi pola makan, pasien disarankan mengurangi lemak total hingga kurang dari 30 persen dari total asupanasupan energi, konsumsi asam lemak jenuh tidak lebih dari sepertiga total lemak dan kolesterol kurang dari 300 miligram per hari. Selain itu, beraktivitas fisik dan perlahan meningkatkan frekuensinya, makan obat sesuai anjuran dan kontrol ke dokter jjuga menjadi keharusan pasien gagal jantung. Hal lain yang tak kalah penting adalah mengenali faktor risiko penderita gagal jantung dan memperbaikinya. Faktor risiko ini antara lain dipicu hipertensi, penumpukan lemak di pembuluh darah jantung sehingga suplai oksigen dan darah terganggu, penyakit otot jantung karena hipertensi, faktor genetika, gangguan irama jantung dan kebiasaan mengonsumsi alkohol.;Berikut ini beberapa pilihan makanan ramah jantung, diantaranya adalah  Ikan, khususnya ikan berlemak seperti salmon dan tuna merupakan makanan ramah jantung. Omega 3 di dalamnya termasuk jenis asam lemak tak jenuh yang mampu meredakan peradangan, termasuk pada pembuluh darah sekitar jantung , Oatmeal dan gandum murni masuk dalam daftar makanan yang sehat untuk pasien penyakit jantung. Oatmeal terbuat dari tanaman haver dan mengandung serat tinggi yang dapat menurunkan kadar kolesterol sehingga mampu mencegah pembentukan plak di pembuluh darah arteri , Makanan kaya protein penting untuk penderita penyakit jantung. Selain protein hewani dari ikan, Anda juga perlu memenuhi asupan protein nabati dari edamame, kacang tanah, produk olahan kedelai, seperti tahu, tempe, atau biji kacang kedelai , Kacang kenari atau nama asingnya, walnut, beserta almond memiliki kandungan lemak tak jenuh, serat, omega 3, vitamin E, sterol, dan asam amino L-arginin. Anda bisa mengonsumsinya sebagai camilan. Dan masih banyak lagi.
gagal ginjal;Gagal ginjal merupakan kondisi di mana satu atau kedua ginjal tidak dapat lagi berfungsi dengan baik. Terkadang, gagal ginjal bersifat sementara dan muncul dengan cepat. Namun di lain waktu, gagal ginjal juga dapat menjadi kondisi kronis yang akan memburuk secara perlahan dalam waktu yang lama. Oleh karena itu, gagal ginjal dapat dibedakan menjadi dua jenis utama, yakni gagal ginjal kronis dan akut. Perlu diingat bahwa ginjal merupakan sepasang organ yang terletak di daerah punggung bawah tubuh. Organ tersebut memiliki beberapa fungsi penting pada tubuh. Salah satunya seperti membuang racun atau limbah dari tubuh. Racun tersebut nantinya akan masuk ke kandung kemih dan dibuang ketika seseorang buang air kecil. Jika ginjal kehilangan kemampuannya untuk menyaring limbah atau racun dari darah, maka gagal ginjal akan terjadi.;Memiliki penyakit gagal ginjal, membuat seseorang lebih berisiko pada efek infeksi tertentu. Penting untuk mengontrol dan mengelola gagal ginjal agar memiliki kualitas hidup yang lebih baik. Berikut ini gaya hidup yang perlu dijalani pengidap gagal ginjal Pola Makanan Sehat, Pengidap gagal ginjal akan merasakan manfaat dari pola makan yang sehat. Penting untuk mengonsumsi makanan yang sehat dan seimbang. Dengan begitu tekanan darah, risiko penyakit jantung, dan kadar gula terkontrol dengan baik , Kontrol Asupan Cairan, Beberapa orang dengan gagal ginjal biasanya disarankan dokter untuk mengontrol jumlah cairan yang diminum. Jika kamu disarankan untuk mengurangi cairan yang diminum, penting juga untuk mengurangi jumlah garam dalam makanan , Olahraga, Olahraga membantu tubuh tetap sehat dan kuat. Kegiatan ini bisa meningkatkan kesejahteraan tubuh dan mengurangi gejala beberapa masalah kesehatan. Namun, mungkin akan sulit untuk mempertahankan rutinitas olahraga yang teratur jika seseorang memiliki kondisi ginjal jangka panjang, terutama jika seseorang menjalani perawatan seperti dialisis , Kelola Kolestrol, Kolesterol adalah jenis lemak penting yang ditemukan di dalam tubuh. Kolesterol terbawa dalam darah dan bisa menumpuk di dinding pembuluh darah, sehingga mengakibatkan pembuluh darah menyempit. Kecenderungan kolesterol tinggi bisa diturunkan jika pengidap gagal ginjal menjalani pola makan sehat dan seimbang. Orang dengan gagal ginjal dengan kadar protein yang sangat tinggi dalam urinnya mungkin juga memiliki kadar kolesterol yang tinggi dalam darahnya.;Meski tidak ada makanan khusus yang dapat memperbaiki fungsi ginjal secara langsung, setidaknya ada beberapa pilihan makanan yang baik untuk penderita penyakit ginjal, di antaranya Ikan, Ikan termasuk pilihan makanan yang baik untuk memperbaiki fungsi ginjal, terutama jenis ikan yang kaya asam lemak omega-3 serta rendah natrium, kalium, dan fosfor. Contohnya adalah ikan salmon, ikan tuna, ikan kembung, atau ikan sarden , Dada Ayam tanpa Kulit, Dada ayam tanpa kulit dikenal sebagai salah satu asupan protein yang baik. Meski termasuk nutrisi yang perlu dibatasi oleh beberapa penderita penyakit ginjal, asupan protein yang cukup tetap penting untuk menjaga kesehatan tubuh , Putih telur, Pilihan makanan yang baik untuk memperbaiki fungsi ginjal selanjutnya adalah putih telur. Makanan ini mengandung sumber protein berkualitas tinggi dan rendah kandungan fosfor, sehingga aman dikonsumsi bagi penderita ginjal , Minyak zaitun, Minyak zaitun merupakan sumber lemak sehat yang rendah kalium, natrium, dan bebas fosfor sehingga termasuk pilihan minyak yang tepat bagi penderita penyakit ginjal. Minyak ini juga cocok digunakan untuk memasak. Dan masih banyak lagi.
batu ginjal;Penyakit batu ginjal merupakan kondisi terbentuknya materi padat dan keras yang menyerupai batu pada ginjal. Batu tersebut berasal dari garam dan mineral di dalam ginjal. Masalah kesehatan ini bisa muncul di sepanjang saluran urine. Batu yang terlalu besar dapat mengganggu cadangan urin di ginjal, ureter, kandung kemih, atau uretra. Hal ini yang menimbulkan rasa sakit.;Gaya hidup sehat yang dapat diterapkan berkaitan dengan batu ginjal adalah dengan menjaga kebutuhan cairan tubuh tetap tercukupi, mengurangi asupan garam karena asupan garam yang berlebihan meningkatkan risiko batu ginjal kalsium, membatasi diri dari makanan yang kaya akan oksalat dan menjaga berat badan ideal;Untuk menurunkan resiko batu ginjal kamu dapat mengkonsumsi buah-buahan seperti apel, anggur, lemon, pisang, pepaya, buah sutrus dan plum, juga mengkonsumsi sayuran seperti lobak, brokoli atau pok choy dan memperbanyak minum air putih. Hindari mengkonsumsi terlalu banyak makanan tinggi garam, makanan tinggi protein hewani dan minuman bersoda.
batu ginjal1;Penyakit batu ginjal merupakan kondisi terbentuknya materi padat dan keras yang menyerupai batu pada ginjal. Batu tersebut berasal dari garam dan mineral di dalam ginjal. Masalah kesehatan ini bisa muncul di sepanjang saluran urine. Batu yang terlalu besar dapat mengganggu cadangan urin di ginjal, ureter, kandung kemih, atau uretra. Hal ini yang menimbulkan rasa sakit.;Gaya hidup sehat yang dapat diterapkan berkaitan dengan batu ginjal adalah dengan menjaga kebutuhan cairan tubuh tetap tercukupi, mengurangi asupan garam karena asupan garam yang berlebihan meningkatkan risiko batu ginjal kalsium, membatasi diri dari makanan yang kaya akan oksalat dan menjaga berat badan ideal;Untuk menurunkan resiko batu ginjal kamu dapat mengkonsumsi buah-buahan seperti apel, anggur, lemon, pisang, pepaya, buah sutrus dan plum, juga mengkonsumsi sayuran seperti lobak, brokoli atau pok choy dan memperbanyak minum air putih. Hindari mengkonsumsi terlalu banyak makanan tinggi garam, makanan tinggi protein hewani dan minuman bersoda.
arteri perifer;Penyakit arteri perifer disebabkan oleh penumpukan lemak di dinding pembuluh darah yang memasok darah ke tungkai. Timbunan lemak tersebut membuat arteri menyempit, sehingga aliran darah ke tungkai tersumbat;Cara paling efektif untuk mencegah penyakit arteri perifer adalah dengan mencegah terjadinya penumpukan lemak pada pembuluh darah. Upaya yang dapat dilakukan antara lain Berhenti merokok, Mengonsumsi makanan bergizi seimbang, Berolahraga rutin 3045 menit setiap hari, Menjaga berat badan ideal, Mengurangi konsumsi minuman beralkohol dan Mengikuti anjuran dokter untuk mengatasi diabetes, hipertensi, atau kolesterol tinggi;Makanan yang dapat membersihkan plak arteri antara lain sayur-sayuran seperti Asparagus, bayam dan Brokoli, buah-buahan misalnya Alpukat, ikan berlemak, kacang, minyak zaitun, semangka dan kunyit
