Nama Penyakit;Penjelasan Singkat;Saran Gaya Hidup;Saran Makanan
Hiperglikemia1;Hiperglikemia adalah kondisi ketika kadar gula didalam darah melebihi batas normal. Pada dasarnya dapat terjadi akibat asupan gula terlalu banyak, tubuh memproduksi gula darah berlebih, atau terdapat gangguan pada proses pengubahan gula darah menjadi energi.;Hiperglikemia atau gula darah tinggi bisa diatasi dengan mengubah gaya hidup menjadi lebih sehat, seperti Melakukan aktivitas fisik dan rutin berolahraga Meningkatkan asupan makanan berserat tinggi, seperti sayur-sayuran Mengurangi konsumsi makanan yang tinggi akan karbohidrat sederhana, seperti nasi putih dan roti Mengelola stres dengan melakukan meditasi, seperti yoga Memperbanyak minum air putih agar terhindar dari dehidrasi Beristirahat yang cukup dan berkualitas Menyesuaikan dosis pengobatan insulin, jika sedang menjalani pengobatan tersebut Memantau kadar gula darah secara rutin ke dokter;Di bawah ini adalah beberapa makanan terbaik untuk orang yang ingin menjaga kadar gula darah tetap terkontrol Roti Gandum karena roti ini memiliki indeks glikemik dan karbohidrat lebih rendah dibandingkan roti lainnya. Buah-Buahan, sebagian besar buah-buahan indeks glikemik rendah yaitu kurang dari 55 yang dapat dapat menyeimbangkan gula alami (fruktosa). Ubi jalar karena memiliki indeks glikemik yang rendah. Oatmeal karena mengandung B-glukan yang membantu menjaga kontrol glikemik. Kacang-Kacangan karena mengandung protein nabati tingkat tinggi, asam lemak tak jenuh, vitamin, flavonoid, magnesium, dan kalium. Bawang Putih karena Senyawa dalam bawang putih dapat membantu mengurangi gula darah dengan meningkatkan sensitivitas dan sekresi insulin. Yoghurt karena termasuk makanan rendah glikemik.
hipoglikemia;Hipoglikemia adalah kondisi ketika kadar gula dalam darah berada di bawah normal. Hipoglikemia terjadi bila kadar gula darah di bawah 70 mg/dL. Namun, tergantung pada kondisi pasien, gejala hipoglikemia bisa muncul pada kadar gula darah yang berbeda-beda. Hipoglikemia yang terlambat ditangani bisa mengakibatkan penurunan kesadaran, kejang, hingga kerusakan permanen pada otak.;Minyak Ikan dan Asam Lemak Omega-3 mengonsumsi ikan berlemak yang kaya omega-3 atau suplemen omega-3 baik untuk dikonsumsi pengidap Parkinson. Jenis ikan dan makanan laut yang mengandung asam lemak omega-3 tinggi, antara lain ˇ Ikan kembung. ˇ Ikan salmon.;Kalau mengalami kondisi gejala menyerupai hipoglikemia, berikut jenis makanan yang dianjurkan untuk dikonsumsi Buah dan Keju, mengonsumsi buah ternyata bisa membantu memperlambat penyerapan glukosa ke dalam aliran darah, karena memiliki banyak kandungan serat, sedangkan keju bisa membantu menjaga kadar gula darah tetap stabil. Roti Gandum Utuh, makanan ini memiliki indeks glikemik yang rendah. Kacang-Kacangan karena mengandung zat yang dapat memperlambat penyerapan glukosa. Yogurt, karena makanan ini juga mengandung lemak dan serat yang berguna untuk memperlambat metabolisme glukosa.
hipoglikemia1;Hipoglikemia adalah kondisi ketika kadar gula dalam darah berada di bawah normal. Hipoglikemia terjadi bila kadar gula darah di bawah 70 mg/dL. Namun, tergantung pada kondisi pasien, gejala hipoglikemia bisa muncul pada kadar gula darah yang berbeda-beda. Hipoglikemia yang terlambat ditangani bisa mengakibatkan penurunan kesadaran, kejang, hingga kerusakan permanen pada otak.;Minyak Ikan dan Asam Lemak Omega-3 mengonsumsi ikan berlemak yang kaya omega-3 atau suplemen omega-3 baik untuk dikonsumsi pengidap Parkinson. Jenis ikan dan makanan laut yang mengandung asam lemak omega-3 tinggi, antara lain ˇ Ikan kembung. ˇ Ikan salmon.;Kalau mengalami kondisi gejala menyerupai hipoglikemia, berikut jenis makanan yang dianjurkan untuk dikonsumsi Buah dan Keju, mengonsumsi buah ternyata bisa membantu memperlambat penyerapan glukosa ke dalam aliran darah, karena memiliki banyak kandungan serat, sedangkan keju bisa membantu menjaga kadar gula darah tetap stabil. Roti Gandum Utuh, makanan ini memiliki indeks glikemik yang rendah. Kacang-Kacangan karena mengandung zat yang dapat memperlambat penyerapan glukosa. Yogurt, karena makanan ini juga mengandung lemak dan serat yang berguna untuk memperlambat metabolisme glukosa.
obesitas;Obesitas adalah kondisi ketika lemak yang menumpuk di dalam tubuh sangat banyak akibat kalori masuk lebih banyak dibandingkan yang dibakar. Jika tidak segera ditangani, obesitas dapat meningkatkan risiko terjadinya penyakit jantung, hipertensi, hingga diabetes. Obesitas dapat disebabkan oleh konsumsi makanan cepat saji atau minuman yang mengandung gula tambahan dalam jangka panjang. Obesitas juga bisa disebabkan oleh konsumsi makanan secara berlebihan yang tidak diimbangi dengan olahraga secara rutin.;Gaya hidup sehat yang dapat diterapkan bagi yang terkena obesitas adalah merubah pola makan yang mencakup  pelaksanaan diet konvensional dan rajin melakukan aktivitas fisik secara teratur. Untuk pasien obesitas, aktivitas fisik yang paling sesuai adalah aktivitas fisik aerobik. Lakukan sebanyak 5-7 kali per minggu, dengan durasi 30-60 menit setiap harinya. Aktivitas fisik aerobik dapat berupa jalan cepat, berlari, bersepeda, serta olahraga kompetitif (sepak bola, bola basket, tenis, bulu tangkis, dan sebagainya). Selain itu, perubahan perilaku. Perubahan perilaku merupakan salah satu hal yang penting untuk diterapkan. Tidak hanya mencakup pengaturan jadwal makan, tetapi juga pencegahan kebiasaan buruk terkait makan seperti ngemil, makan sebelum tidur, dan sebagainya.;Hal yang dapat dilakukan bagi yang terkena obesitas dengan cara mengurangi konsumsi bahan makanan sumber karbohidrat kompleks seperti nasi, roti, jagung, kentang dan sereal. Selain itu, Menghindari konsumsi bahan makanan sumber karbohidrat sederhana seperti gula pasir, gula merah, sirup, kue yang manis dan gurih, madu, selai, dodol, coklat, permen, minuman ringan, dll. Dan juga mengurangi konsumsi bahan makanan sumber lemak dengan tidak mengolah makanan dengan cara digoreng dan menggunakan santan kental serta mentega dan margarin, dan mengutamakan konsumsi bahan makanan sumber protein rendah lemak, seperti ikan, putih telur, ayam tanpa kulit, susu dan keju rendah lemak, tempe tahu, dan kacang-kacangan yang diolah.
serangan jantung;Serangan jantung adalah kondisi medis darurat ketika darah yang menuju ke jantung terhambat. Gangguan aliran darah ke jantung bisa merusak atau bahkan menghancurkan otot jantung dan bahkan bisa berakibat fatal. Serangan jantung terjadi ketika satu atau lebih arteri koroner tersumbat. Hal ini menyebabkan pasokan darah menuju jantung terganggu. Padahal, jantung membutuhkan pasokan darah konstan yang mengandung oksigen. Apabila jantung tidak mendapatkan pasokan darah yang cukup, maka otot-otot jantung akan rusak.;Seseorang yang terkena serangan jantung biasanya disarankan mengikuti program rehabilitasi jantung yang dirancang untuk menjaga kesehatan jantung. Dalam rehabilitasi tersebut, kita akan mempelajari berbagai kebiasaan dan pola hidup yang lebih menyehatkan jantung seperti berolahraga teratur, mengonsumsi makanan yang menyehatkan jantung, menurunkan tekanan darah, menjaga berat badan yang sehat, berfokus pada Kesehatan mental, istirahat yang cukup, mengelola stress dengan baik dan berhenti merokok.;Seseorang yang terkena serangan jantung harus menghindari makanan tinggi lemak dan kolesterol, daging olahan, makanan cepat saji, makanan dan minuman manis. Adapun makanan yang dianjurkan untuk menyehatkan jantung adalah sayuran hijau seperti brokoli, bayam, kangkong, pakcoy dan asparagus. Selanjutnya adalah kentang yang berperan dalam menurunkan tekanan darah.  Namun yang perlu diingat bahwa untuk mengonsumsi kentang adalah dengan cara mengukus atau merebusnya. Makanan  lainnya yang dapat dikonsumsi untuk menyehatkan jantung adalah ikan salmon dan oatmeal  yang mampu menurunkan kadar kolesterol dan tomat yang mampu menurunkan risiko penyakit serangan jantung.
Edema Makula Diabetik;Edema makula diabetik adalah penebalan pada retina akibat menumpuknya cairan di dalam mata. Penyakit bernama lain diabetic macular edema/DME ini merupakan bagian dari komplikasi diabetes retinopati diabetik. DME terjadi bila cairan berlebih menumpuk di dalam makula.;Berikut beberapa tips yang bisa Anda lakukan untuk mengurangi risiko edema makula diabetik  Melakukan pemeriksaan kadar gula darah secara berkala, Menjalani pola makan sehat dan berolahraga secara rutin, Mengonsumsi obat diabetes sesuai anjuran dokter, Menjaga kadar kolesterol dan tekanan darah dalam rentang yang normal, Memeriksakan mata ke dokter secara rutin, Tidak mengabaikan gejala apa pun yang timbul pada mata Anda.;Untuk mengendalikan diabetes, penting untuk mengikuti diet sehat dan mengonsumsi karbohidrat, serat, ikan kaya omega-3 dan lemak baik. Karbohidrat kompleks perlahan-lahan diserap ke dalam tubuh, menghindari lonjakan kadar gula darah. Fokus pada biji-bijian utuh, sayuran dan buah-buahan yang akan meminimalkan risiko diabetes mellitus. Serat membantu mencerna makanan dan membantu mengendalikan kadar gula darah. Konsumsilah makanan yang memiliki kandungan serat tinggi, seperti buah-buahan, kacang-kacangan, sayuran dan gandum, serta hindari minuman manis.
Edema Makula Diabetik1;Edema makula diabetik adalah penebalan pada retina akibat menumpuknya cairan di dalam mata. Penyakit bernama lain diabetic macular edema/DME ini merupakan bagian dari komplikasi diabetes retinopati diabetik. DME terjadi bila cairan berlebih menumpuk di dalam makula.;Berikut beberapa tips yang bisa Anda lakukan untuk mengurangi risiko edema makula diabetik  Melakukan pemeriksaan kadar gula darah secara berkala, Menjalani pola makan sehat dan berolahraga secara rutin, Mengonsumsi obat diabetes sesuai anjuran dokter, Menjaga kadar kolesterol dan tekanan darah dalam rentang yang normal, Memeriksakan mata ke dokter secara rutin, Tidak mengabaikan gejala apa pun yang timbul pada mata Anda.;Untuk mengendalikan diabetes, penting untuk mengikuti diet sehat dan mengonsumsi karbohidrat, serat, ikan kaya omega-3 dan lemak baik. Karbohidrat kompleks perlahan-lahan diserap ke dalam tubuh, menghindari lonjakan kadar gula darah. Fokus pada biji-bijian utuh, sayuran dan buah-buahan yang akan meminimalkan risiko diabetes mellitus. Serat membantu mencerna makanan dan membantu mengendalikan kadar gula darah. Konsumsilah makanan yang memiliki kandungan serat tinggi, seperti buah-buahan, kacang-kacangan, sayuran dan gandum, serta hindari minuman manis.
Edema Makula Diabetik2;Edema makula diabetik adalah penebalan pada retina akibat menumpuknya cairan di dalam mata. Penyakit bernama lain diabetic macular edema/DME ini merupakan bagian dari komplikasi diabetes retinopati diabetik. DME terjadi bila cairan berlebih menumpuk di dalam makula.;Berikut beberapa tips yang bisa Anda lakukan untuk mengurangi risiko edema makula diabetik  Melakukan pemeriksaan kadar gula darah secara berkala, Menjalani pola makan sehat dan berolahraga secara rutin, Mengonsumsi obat diabetes sesuai anjuran dokter, Menjaga kadar kolesterol dan tekanan darah dalam rentang yang normal, Memeriksakan mata ke dokter secara rutin, Tidak mengabaikan gejala apa pun yang timbul pada mata Anda.;Untuk mengendalikan diabetes, penting untuk mengikuti diet sehat dan mengonsumsi karbohidrat, serat, ikan kaya omega-3 dan lemak baik. Karbohidrat kompleks perlahan-lahan diserap ke dalam tubuh, menghindari lonjakan kadar gula darah. Fokus pada biji-bijian utuh, sayuran dan buah-buahan yang akan meminimalkan risiko diabetes mellitus. Serat membantu mencerna makanan dan membantu mengendalikan kadar gula darah. Konsumsilah makanan yang memiliki kandungan serat tinggi, seperti buah-buahan, kacang-kacangan, sayuran dan gandum, serta hindari minuman manis.
Edema Makula Diabetik3;Edema makula diabetik adalah penebalan pada retina akibat menumpuknya cairan di dalam mata. Penyakit bernama lain diabetic macular edema/DME ini merupakan bagian dari komplikasi diabetes retinopati diabetik. DME terjadi bila cairan berlebih menumpuk di dalam makula.;Berikut beberapa tips yang bisa Anda lakukan untuk mengurangi risiko edema makula diabetik  Melakukan pemeriksaan kadar gula darah secara berkala, Menjalani pola makan sehat dan berolahraga secara rutin, Mengonsumsi obat diabetes sesuai anjuran dokter, Menjaga kadar kolesterol dan tekanan darah dalam rentang yang normal, Memeriksakan mata ke dokter secara rutin, Tidak mengabaikan gejala apa pun yang timbul pada mata Anda.;Untuk mengendalikan diabetes, penting untuk mengikuti diet sehat dan mengonsumsi karbohidrat, serat, ikan kaya omega-3 dan lemak baik. Karbohidrat kompleks perlahan-lahan diserap ke dalam tubuh, menghindari lonjakan kadar gula darah. Fokus pada biji-bijian utuh, sayuran dan buah-buahan yang akan meminimalkan risiko diabetes mellitus. Serat membantu mencerna makanan dan membantu mengendalikan kadar gula darah. Konsumsilah makanan yang memiliki kandungan serat tinggi, seperti buah-buahan, kacang-kacangan, sayuran dan gandum, serta hindari minuman manis.
Derpomatik Diabetik;Derpomatik diabetik adalah kerusakan yang terjadi pada pengidap diabetes akibat gula darah tinggi melukai saraf di seluruh tubuh. Kondisi ini paling sering terjadi pada tungkai dan kaki. Selain itu, dampaknya dapat terjadi pada sistem pencernaan, saluran kemih, dan pembuluh darah serta jantung. ;Berikut beberapa tips yang bisa Anda lakukan untuk mengurangi risiko edema makula diabetik  Melakukan pemeriksaan kadar gula darah secara berkala, Menjalani pola makan sehat dan berolahraga secara rutin, Mengonsumsi obat diabetes sesuai anjuran dokter, Menjaga kadar kolesterol dan tekanan darah dalam rentang yang normal, Memeriksakan mata ke dokter secara rutin, Tidak mengabaikan gejala apa pun yang timbul pada kulit Anda.;Untuk mengendalikan diabetes, penting untuk mengikuti diet sehat dan mengonsumsi karbohidrat, serat, ikan kaya omega-3 dan lemak baik. Karbohidrat kompleks perlahan-lahan diserap ke dalam tubuh, menghindari lonjakan kadar gula darah. Fokus pada biji-bijian utuh, sayuran dan buah-buahan yang akan meminimalkan risiko diabetes mellitus. Serat membantu mencerna makanan dan membantu mengendalikan kadar gula darah. Konsumsilah makanan yang memiliki kandungan serat tinggi, seperti buah-buahan, kacang-kacangan, sayuran dan gandum, serta hindari minuman manis.
Derpomatik Diabetik1;Derpomatik diabetik adalah kerusakan yang terjadi pada pengidap diabetes akibat gula darah tinggi melukai saraf di seluruh tubuh. Kondisi ini paling sering terjadi pada tungkai dan kaki. Selain itu, dampaknya dapat terjadi pada sistem pencernaan, saluran kemih, dan pembuluh darah serta jantung. ;Berikut beberapa tips yang bisa Anda lakukan untuk mengurangi risiko edema makula diabetik  Melakukan pemeriksaan kadar gula darah secara berkala, Menjalani pola makan sehat dan berolahraga secara rutin, Mengonsumsi obat diabetes sesuai anjuran dokter, Menjaga kadar kolesterol dan tekanan darah dalam rentang yang normal, Memeriksakan mata ke dokter secara rutin, Tidak mengabaikan gejala apa pun yang timbul pada kulit Anda.;Untuk mengendalikan diabetes, penting untuk mengikuti diet sehat dan mengonsumsi karbohidrat, serat, ikan kaya omega-3 dan lemak baik. Karbohidrat kompleks perlahan-lahan diserap ke dalam tubuh, menghindari lonjakan kadar gula darah. Fokus pada biji-bijian utuh, sayuran dan buah-buahan yang akan meminimalkan risiko diabetes mellitus. Serat membantu mencerna makanan dan membantu mengendalikan kadar gula darah. Konsumsilah makanan yang memiliki kandungan serat tinggi, seperti buah-buahan, kacang-kacangan, sayuran dan gandum, serta hindari minuman manis.
Derpomatik Diabetik2;Derpomatik diabetik adalah kerusakan yang terjadi pada pengidap diabetes akibat gula darah tinggi melukai saraf di seluruh tubuh. Kondisi ini paling sering terjadi pada tungkai dan kaki. Selain itu, dampaknya dapat terjadi pada sistem pencernaan, saluran kemih, dan pembuluh darah serta jantung. ;Berikut beberapa tips yang bisa Anda lakukan untuk mengurangi risiko edema makula diabetik  Melakukan pemeriksaan kadar gula darah secara berkala, Menjalani pola makan sehat dan berolahraga secara rutin, Mengonsumsi obat diabetes sesuai anjuran dokter, Menjaga kadar kolesterol dan tekanan darah dalam rentang yang normal, Memeriksakan mata ke dokter secara rutin, Tidak mengabaikan gejala apa pun yang timbul pada kulit Anda.;Untuk mengendalikan diabetes, penting untuk mengikuti diet sehat dan mengonsumsi karbohidrat, serat, ikan kaya omega-3 dan lemak baik. Karbohidrat kompleks perlahan-lahan diserap ke dalam tubuh, menghindari lonjakan kadar gula darah. Fokus pada biji-bijian utuh, sayuran dan buah-buahan yang akan meminimalkan risiko diabetes mellitus. Serat membantu mencerna makanan dan membantu mengendalikan kadar gula darah. Konsumsilah makanan yang memiliki kandungan serat tinggi, seperti buah-buahan, kacang-kacangan, sayuran dan gandum, serta hindari minuman manis.
Derpomatik Diabetik3;Derpomatik diabetik adalah kerusakan yang terjadi pada pengidap diabetes akibat gula darah tinggi melukai saraf di seluruh tubuh. Kondisi ini paling sering terjadi pada tungkai dan kaki. Selain itu, dampaknya dapat terjadi pada sistem pencernaan, saluran kemih, dan pembuluh darah serta jantung. ;Berikut beberapa tips yang bisa Anda lakukan untuk mengurangi risiko edema makula diabetik  Melakukan pemeriksaan kadar gula darah secara berkala, Menjalani pola makan sehat dan berolahraga secara rutin, Mengonsumsi obat diabetes sesuai anjuran dokter, Menjaga kadar kolesterol dan tekanan darah dalam rentang yang normal, Memeriksakan mata ke dokter secara rutin, Tidak mengabaikan gejala apa pun yang timbul pada kulit Anda.;Untuk mengendalikan diabetes, penting untuk mengikuti diet sehat dan mengonsumsi karbohidrat, serat, ikan kaya omega-3 dan lemak baik. Karbohidrat kompleks perlahan-lahan diserap ke dalam tubuh, menghindari lonjakan kadar gula darah. Fokus pada biji-bijian utuh, sayuran dan buah-buahan yang akan meminimalkan risiko diabetes mellitus. Serat membantu mencerna makanan dan membantu mengendalikan kadar gula darah. Konsumsilah makanan yang memiliki kandungan serat tinggi, seperti buah-buahan, kacang-kacangan, sayuran dan gandum, serta hindari minuman manis.
Difungsi Ereksi;Disfungsi ereksi adalah kondisi yang dapat menurunkan rasa percaya diri bagi kaum pria. Kondisi ini akan mempengaruhi hubungan seksual dengan pasangannya dan bisa menjadi salah satu tanda adanya penyakit tertentu.;Langkah- langkah berikut bisa membuat Difungsi Ereksi Anda membaik  Perbanyak lakukan aktfiitas yang membuat Anda rileks, seperti dengan bermeditasi, melampiaskan hobi, berlibur, beribadah, Kelola stres Anda dengan baik, Teratur berolahraga setiap hari, Jangan dulu beraktifitas fisik terlalu lelah, tidurlah yang cukup dan teratur, Makan variasi makanan bergizi seimbang, terutama yang mengandung kaya vitamin C, Jangan merokok, Jangan sembarangan minum obat atau jamu kuat tanpa saran dari dokter;Sebelum prosedur pengobatan dilakukan, makanan-makanan berikut diklaim ampuh dalam mengatasi disfungsi ereksi, yaitu  Tiram, Daging Organik, Buah Pisang, Buah Berry, Coklat Hitam, Ikan, Bawang
Difungsi Ereksi1;Disfungsi ereksi adalah kondisi yang dapat menurunkan rasa percaya diri bagi kaum pria. Kondisi ini akan mempengaruhi hubungan seksual dengan pasangannya dan bisa menjadi salah satu tanda adanya penyakit tertentu.;Langkah- langkah berikut bisa membuat Difungsi Ereksi Anda membaik  Perbanyak lakukan aktfiitas yang membuat Anda rileks, seperti dengan bermeditasi, melampiaskan hobi, berlibur, beribadah, Kelola stres Anda dengan baik, Teratur berolahraga setiap hari, Jangan dulu beraktifitas fisik terlalu lelah, tidurlah yang cukup dan teratur, Makan variasi makanan bergizi seimbang, terutama yang mengandung kaya vitamin C, Jangan merokok, Jangan sembarangan minum obat atau jamu kuat tanpa saran dari dokter;Sebelum prosedur pengobatan dilakukan, makanan-makanan berikut diklaim ampuh dalam mengatasi disfungsi ereksi, yaitu  Tiram, Daging Organik, Buah Pisang, Buah Berry, Coklat Hitam, Ikan, Bawang
Kardivoskuler;Penyakit kardiovaskular atau cardiovascular disease (CVD) adalah penyakit yang berkaitan dengan jantung dan pembuluh darah.Penyakit kardiovaskular yang umum adalah penyakit jantung iskemik (ischemic heart disease atau IHD), strok, penyakit jantung akibat tekanan darah tinggi atau penyakit jantung hipertensi (hypertensive heart disease), penyakit jantung reumatik (rheumatic heart disease atau RHD), aneurisma aorta (aortic aneurysm), kardiomiopati (cardiomyopathy), fibrilasi atrium (atrial fibrillation), penyakit jantung bawaan (congenital heart disease), endokarditis, dan penyakit arteri perifer (peripheral artery disease atau PAD).Penyakit kardiovaskuler terjadi karena adanya gangguan pada  jantung dan pembuluh darah.;Gaya hidup yang dapat diterapkan untuk menurunkan resiko kardiovaskuler lakukan lakukan aktivitas fisik moderat secara rutin, yakni 150 menit per minggu sesuai rekomendasi Organisasi Kesehatan Dunia (WHO), menerapkan pola makan sehat dan seimbang serta menjaga indeks massa tubuh (IMT).;Penyakit kardiovaskular Secara garis besar, makanan sehat yang berguna bagi kesehatan jantung antara lain beras merah, sayuran hijau, ikan, buah seperti alpukat , apel, pepaya, pisang, jeruk, dan lainnya, bisa ditambah konsumsi minyak zaitun. Begitu juga bagi pasien jantung, pola makan memegang peranan agar ritme kerja jantung berfungsi secara normal tanpa adanya penyumbatan di pembuluh darah akibat pola makan yang salah.
Parkinson;Penyakit Parkinson menyerang sel saraf yang bertanggung jawab untuk mengendalikan gerakan. Pengidap penyakit ini mengalami penurunan produksi dopamin akibat sel saraf dopaminergik mengalami degenerasi sehingga tubuh kehilangan kontrol gerak dan keseimbangan.;Untuk menurunkan resiko penyakit parkinson maka kita harus banyak melakukan aktivitas seni Hal ini dikarenakan aktivitas seni membutuhkan koordinasi antara otak dan otot menjadi lebih baik, olahraga secara rutin dan konsumsi makanan bergizi seimbang. ;Minyak Ikan dan Asam Lemak Omega-3 mengonsumsi ikan berlemak yang kaya omega-3 atau suplemen omega-3 baik untuk dikonsumsi pengidap Parkinson. Jenis ikan dan makanan laut yang mengandung asam lemak omega-3 tinggi, antara lain ˇ Ikan kembung. ˇ Ikan salmon.
Parkinson1;Penyakit Parkinson menyerang sel saraf yang bertanggung jawab untuk mengendalikan gerakan. Pengidap penyakit ini mengalami penurunan produksi dopamin akibat sel saraf dopaminergik mengalami degenerasi sehingga tubuh kehilangan kontrol gerak dan keseimbangan.;Untuk menurunkan resiko penyakit parkinson maka kita harus banyak melakukan aktivitas seni Hal ini dikarenakan aktivitas seni membutuhkan koordinasi antara otak dan otot menjadi lebih baik, olahraga secara rutin dan konsumsi makanan bergizi seimbang. ;Minyak Ikan dan Asam Lemak Omega-3 mengonsumsi ikan berlemak yang kaya omega-3 atau suplemen omega-3 baik untuk dikonsumsi pengidap Parkinson. Jenis ikan dan makanan laut yang mengandung asam lemak omega-3 tinggi, antara lain ˇ Ikan kembung. ˇ Ikan salmon.
Parkinson2;Penyakit Parkinson menyerang sel saraf yang bertanggung jawab untuk mengendalikan gerakan. Pengidap penyakit ini mengalami penurunan produksi dopamin akibat sel saraf dopaminergik mengalami degenerasi sehingga tubuh kehilangan kontrol gerak dan keseimbangan.;Untuk menurunkan resiko penyakit parkinson maka kita harus banyak melakukan aktivitas seni Hal ini dikarenakan aktivitas seni membutuhkan koordinasi antara otak dan otot menjadi lebih baik, olahraga secara rutin dan konsumsi makanan bergizi seimbang. ;Minyak Ikan dan Asam Lemak Omega-3 mengonsumsi ikan berlemak yang kaya omega-3 atau suplemen omega-3 baik untuk dikonsumsi pengidap Parkinson. Jenis ikan dan makanan laut yang mengandung asam lemak omega-3 tinggi, antara lain ˇ Ikan kembung. ˇ Ikan salmon.
Parkinson3;Penyakit Parkinson menyerang sel saraf yang bertanggung jawab untuk mengendalikan gerakan. Pengidap penyakit ini mengalami penurunan produksi dopamin akibat sel saraf dopaminergik mengalami degenerasi sehingga tubuh kehilangan kontrol gerak dan keseimbangan.;Untuk menurunkan resiko penyakit parkinson maka kita harus banyak melakukan aktivitas seni Hal ini dikarenakan aktivitas seni membutuhkan koordinasi antara otak dan otot menjadi lebih baik, olahraga secara rutin dan konsumsi makanan bergizi seimbang. ;Minyak Ikan dan Asam Lemak Omega-3 mengonsumsi ikan berlemak yang kaya omega-3 atau suplemen omega-3 baik untuk dikonsumsi pengidap Parkinson. Jenis ikan dan makanan laut yang mengandung asam lemak omega-3 tinggi, antara lain ˇ Ikan kembung. ˇ Ikan salmon.
